code,type,备注
10000,汽车服务相关,测试
10100,加油站,测试
10101,中国石化,测试
10102,中国石油,测试
10103,壳牌,测试
10104,美孚,测试
10105,加德士,测试
10107,东方,测试
10108,中石油碧辟,测试
10109,中石化碧辟,测试
10110,道达尔,测试
10111,埃索,测试
10112,中化道达尔,测试
10200,其它能源站,测试
10300,加气站,测试
10400,汽车养护,测试
10401,加水站,测试
10500,洗车场,测试
10600,汽车俱乐部,测试
10000,汽车服务相关,测试
10100,加油站,测试
10101,中国石化,测试
10102,中国石油,测试
10103,壳牌,测试
10104,美孚,测试
10105,加德士,测试
10107,东方,测试
10108,中石油碧辟,测试
10109,中石化碧辟,测试
10110,道达尔,测试
10111,埃索,测试
10112,中化道达尔,测试
10200,其它能源站,测试
10300,加气站,测试
10400,汽车养护,测试
10401,加水站,测试
10500,洗车场,测试
10600,汽车俱乐部,测试
